Territorialidades,IDHM 2010,População (2022),Densidade Demográfica (2022)
Angra dos Reis,0.724,167434,205.84
Aperibé,0.692,11034,116.71
Araruama,0.718,129671,203.16
Areal,0.684,11828,106.82
Armação dos Búzios,0.728,40006,563.65
Arraial do Cabo,0.733,30986,203.71
Barra do Piraí,0.733,92883,158.88
Barra Mansa,0.729,169894,310.52
Belford Roxo,0.684,483087,6116.19
Bom Jardim,0.66,28102,73.48
Bom Jesus do Itabapoana,0.732,35173,58.95
Cabo Frio,0.735,222161,537.34
Cachoeiras de Macacu,0.7,56943,59.64
Cambuci,0.691,14616,26.18
Campos dos Goytacazes,0.716,13847,45.42
Cantagalo,0.709,8741,80.46
Carapebus,0.713,483540,119.91
Cardoso Moreira,0.648,19390,25.95
Carmo,0.696,12958,24.8
Casimiro de Abreu,0.726,17198,56.25
Comendador Levy Gasparian,0.685,46110,99.61
Conceição de Macabu,0.712,21104,62.39
Cordeiro,0.729,20783,183.84
Duas Barras,0.659,10980,28.92
Duque de Caxias,0.711,808161,1729.36
Engenheiro Paulo de Frontin,0.722,12242,87.83
Guapimirim,0.698,51696,144.22
Iguaba Grande,0.761,27920,547.7
Itaboraí,0.693,224267,521.6
Itaguaí,0.715,116841,413.44
Italva,0.688,14073,48.33
Itaocara,0.713,22919,52.91
Itaperuna,0.73,101041,91.3
Itatiaia,0.737,30908,128.23
Japeri,0.659,96289,1178.61
Laje do Muriaé,0.668,7336,28.94
Macaé,0.764,246391,202.46
Macuco,0.703,5415,69.1
Magé,0.709,228127,583.78
Mangaratiba,0.753,41220,112.13
Maricá,0.765,197277,545.61
Mendes,0.736,17502,183.61
Mesquita,0.737,167127,4059.54
Miguel Pereira,0.745,26582,92.32
Miracema,0.713,26881,88.64
Natividade,0.73,15074,38.94
Nilópolis,0.753,146774,7568.4
Niterói,0.837,481749,3601.67
Nova Friburgo,0.745,189939,203.05
Nova Iguaçu,0.713,785867,1509.6
Paracambi,0.72,41375,216.68
Paraíba do Sul,0.702,42063,73.65
Paraty,0.693,45243,48.95
Paty do Alferes,0.671,29619,94.23
Petrópolis,0.745,278881,352.5
Pinheiral,0.715,24298,295.4
Piraí,0.708,27474,56.04
Porciúncula,0.697,17288,59.24
Porto Real,0.713,20373,400.32
Quatis,0.69,13682,48.04
Queimados,0.68,140523,1850.76
Quissamã,0.704,22393,31.12
Resende,0.768,129612,117.9
Rio Bonito,0.71,56276,122.48
Rio Claro,0.683,17401,20.55
Rio das Flores,0.68,8954,18.7
Rio das Ostras,0.773,156491,686.23
Rio de Janeiro,0.799,6211223,5174.6
Santa Maria Madalena,0.668,10232,12.62
Santo Antônio de Pádua,0.718,41325,68.46
São Fidélis,0.691,45059,40.3
São Francisco de Itabapoana,0.639,38961,37.65
São Gonçalo,0.739,896744,3613.57
São João da Barra,0.671,36573,80.84
São João de Meriti,0.719,440962,12521.64
São José de Ubá,0.652,7070,28.32
São José do Vale do Rio Preto,0.66,22080,100.28
São Pedro da Aldeia,0.712,104029,312.88
São Sebastião do Alto,0.646,7750,19.51
Sapucaia,0.675,17729,32.79
Saquarema,0.709,89559,254.34
Seropédica,0.713,80596,303.92
Silva Jardim,0.654,21352,22.77
Sumidouro,0.611,15206,36.78
Tanguá,0.654,31086,217.37
Teresópolis,0.73,165123,213.52
Trajano de Moraes,0.667,10302,17.43
Três Rios,0.725,78346,242.68
Valença,0.738,68088,52.34
Varre-Sai,0.659,10207,50.55
Vassouras,0.714,33976,63.38
Volta Redonda,0.771,261563,1436.33
